4.093603999999999701e+02,9.500000000000001499e-03,2.100239999999999709e+05
3.025298400000000498e+00,7.400000000000000328e-03,2.500280000000000000e+05
5.042583000000000482e-01,7.100000000000000408e-03,3.000279999999999418e+05
3.031402000000000263e-01,8.199999999999998956e-03,3.500279999999999418e+05
1.762333000000000371e-01,8.600000000000000006e-03,4.000279999999999418e+05
1.321267999999999887e-01,6.799999999999999621e-03,4.600279999999999418e+05
2.097395999999999983e-01,7.799999999999999642e-03,5.500280000000000000e+05
1.709231999999999974e-01,6.100000000000001255e-03,6.000280000000000000e+05
1.708768000000000231e-01,6.900000000000000751e-03,7.000280000000001164e+05
1.588027000000000188e-01,8.399999999999999481e-03,8.000280000000001164e+05
1.463450000000000029e-01,8.600000000000000006e-03,1.000028000000000233e+06
1.179380000000000012e-01,6.799999999999999621e-03,1.200028000000000233e+06
